2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.7345)
2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2693.6
2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2603.92
2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:01 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.7498)
2026-02-20T10:32:02 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.658)
2026-02-20T10:32:02 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2693.0
2026-02-20T10:32:02 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2604.71
2026-02-20T10:32:02 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:02 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.4799)
2026-02-20T10:32:03 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.8895)
2026-02-20T10:32:03 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2693.7
2026-02-20T10:32:03 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2605.24
2026-02-20T10:32:03 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:03 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.1499)
2026-02-20T10:32:04 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.2699)
2026-02-20T10:32:04 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2693.6
2026-02-20T10:32:04 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2605.78
2026-02-20T10:32:04 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:04 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.302)
2026-02-20T10:32:05 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.9659)
2026-02-20T10:32:05 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.4
2026-02-20T10:32:05 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2606.35
2026-02-20T10:32:05 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:05 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.5207)
2026-02-20T10:32:06 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.6824)
2026-02-20T10:32:06 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2693.2
2026-02-20T10:32:06 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2606.75
2026-02-20T10:32:06 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:06 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.7829)
2026-02-20T10:32:07 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.8335)
2026-02-20T10:32:07 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.0
2026-02-20T10:32:07 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2607.66
2026-02-20T10:32:07 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:07 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.3305)
2026-02-20T10:32:08 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=20.0616)
2026-02-20T10:32:08 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2694.4
2026-02-20T10:32:08 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2608.48
2026-02-20T10:32:08 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:08 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=50.0975)
2026-02-20T10:32:09 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-01 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=19.7891)
2026-02-20T10:32:09 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-02 | erro=Integridade Falhou: core_temp_c fora do domínio [-100, 200]: 2695.0
2026-02-20T10:32:09 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-03 | erro=Integridade Falhou: altitude_km deve ser positivo: -2608.89
2026-02-20T10:32:09 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-04 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=0.0)
2026-02-20T10:32:09 | ERROR    | __main__ | Mensagem descartada | topic=curso/smartaqua/telemetry/SAT-AQUA-05 | erro=Integridade Falhou: ice_thickness_m reportado fora das regiões polares (lat=49.7587)
